WRN 2026-09-05T07:13:49.636 ui.20715   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:13:49.636 ui.20715   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:13:49.636 ui.20715   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:20:32.360 ui.22714   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:20:32.360 ui.22714   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:20:32.360 ui.22714   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:20:32.360 ui.22714   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:20:32.360 ui.22714   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:20:40.180 ui.22733   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:20:40.180 ui.22733   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:20:40.180 ui.22733   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:20:40.180 ui.22733   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:20:40.180 ui.22733   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:24:14.956 ui.23175   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:24:14.956 ui.23175   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:24:14.956 ui.23175   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:24:14.956 ui.23175   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:24:14.956 ui.23175   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:24:30.769 ui.23183   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:24:30.769 ui.23183   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:24:30.769 ui.23183   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:24:30.769 ui.23183   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:24:30.769 ui.23183   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:39:03.694 ui.24922   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:39:03.694 ui.24922   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:39:03.694 ui.24922   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:39:03.694 ui.24922   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:39:03.694 ui.24922   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:40:04.272 ui.25203   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:40:04.272 ui.25203   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:40:04.272 ui.25203   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:40:04.272 ui.25203   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:40:04.272 ui.25203   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
